#PROJECT_DESCRIPTION=New experiment for element analysis of apples
#ALTERNATIVE_NAME=
#INVESTIGATOR=
#CONTACT=
#MANAGER=
#EXP QVGVNE1:Q_EXPERIMENTAL_DESIGN:{Q_SECONDARY_NAME=2018-05-15_UVB134679}
#EXP QVGVNE2:Q_SAMPLE_EXTRACTION:{Q_SECONDARY_NAME=2018-05-15-258852}
Identifier	SAMPLE TYPE	SPACE	EXPERIMENT	Q_SECONDARY_NAME	PARENT	Q_PRIMARY_TISSUE	Q_TISSUE_DETAILED	Q_ADDITIONAL_INFO	Q_NCBI_ORGANISM	Q_SAMPLE_TYPE	Q_EXTERNALDB_ID	Condition: genotype	Condition: phenotype	Condition: species	Condition: extraction_time	Condition: growth_medium
QVGVN081A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-14	AUXILLARY_BUD						gen2	colour	Rosa wichurana	extract1	medium3
QVGVN082A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-14	AUXILLARY_BUD						gen2	colour	Rosa wichurana	extract2	medium1
QVGVN083AH	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-14	AUXILLARY_BUD						gen2	colour	Rosa wichurana	extract2	medium2
QVGVN084AP	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-14	AUXILLARY_BUD						gen2	colour	Rosa wichurana	extract2	medium3
QVGVN085AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-15	AUXILLARY_BUD						gen2	colour	Escherichia coli	extract1	medium1
QVGVN086A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-15	AUXILLARY_BUD						gen2	colour	Escherichia coli	extract1	medium2
QVGVN087AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-15	AUXILLARY_BUD						gen2	colour	Escherichia coli	extract1	medium3
QVGVN088AN	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-15	AUXILLARY_BUD						gen2	colour	Escherichia coli	extract2	medium1
QVGVN089AV	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-15	AUXILLARY_BUD						gen2	colour	Escherichia coli	extract2	medium2
QVGVN090A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-15	AUXILLARY_BUD						gen2	colour	Escherichia coli	extract2	medium3
QVGVN091A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-16	AUXILLARY_BUD						gen2	colour	Brassica oleracea var. viridis	extract1	medium1
QVGVN092AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-16	AUXILLARY_BUD						gen2	colour	Brassica oleracea var. viridis	extract1	medium2
QVGVN093AO	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-16	AUXILLARY_BUD						gen2	colour	Brassica oleracea var. viridis	extract1	medium3
QVGVN094AW	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-16	AUXILLARY_BUD						gen2	colour	Brassica oleracea var. viridis	extract2	medium1
QVGVN095A6	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-16	AUXILLARY_BUD						gen2	colour	Brassica oleracea var. viridis	extract2	medium2
QVGVN096AE	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-16	AUXILLARY_BUD						gen2	colour	Brassica oleracea var. viridis	extract2	medium3
QVGVN097AM	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-17	AUXILLARY_BUD						gen2	volume	Cavia aperea	extract1	medium1
QVGVN098AU	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-17	AUXILLARY_BUD						gen2	volume	Cavia aperea	extract1	medium2
QVGVN099A4	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-17	AUXILLARY_BUD						gen2	volume	Cavia aperea	extract1	medium3
QVGVN100AB	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-17	AUXILLARY_BUD						gen2	volume	Cavia aperea	extract2	medium1
QVGVN101AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-17	AUXILLARY_BUD						gen2	volume	Cavia aperea	extract2	medium2
QVGVN102AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-17	AUXILLARY_BUD						gen2	volume	Cavia aperea	extract2	medium3
QVGVN103A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-18	AUXILLARY_BUD						gen2	volume	Rosa wichurana	extract1	medium1
QVGVN104A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-18	AUXILLARY_BUD						gen2	volume	Rosa wichurana	extract1	medium2
QVGVN105AH	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-18	AUXILLARY_BUD						gen2	volume	Rosa wichurana	extract1	medium3
QVGVN106AP	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-18	AUXILLARY_BUD						gen2	volume	Rosa wichurana	extract2	medium1
QVGVN107AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-18	AUXILLARY_BUD						gen2	volume	Rosa wichurana	extract2	medium2
QVGVN108A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-18	AUXILLARY_BUD						gen2	volume	Rosa wichurana	extract2	medium3
QVGVN109AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-19	AUXILLARY_BUD						gen2	volume	Escherichia coli	extract1	medium1
QVGVN110AI	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-19	AUXILLARY_BUD						gen2	volume	Escherichia coli	extract1	medium2
QVGVN111AQ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-19	AUXILLARY_BUD						gen2	volume	Escherichia coli	extract1	medium3
QVGVN112A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-19	AUXILLARY_BUD						gen2	volume	Escherichia coli	extract2	medium1
QVGVN113A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-19	AUXILLARY_BUD						gen2	volume	Escherichia coli	extract2	medium2
QVGVN114AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-19	AUXILLARY_BUD						gen2	volume	Escherichia coli	extract2	medium3
QVGVN115AO	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-20	AUXILLARY_BUD						gen2	volume	Brassica oleracea var. viridis	extract1	medium1
QVGVN116AW	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-20	AUXILLARY_BUD						gen2	volume	Brassica oleracea var. viridis	extract1	medium2
QVGVN117A6	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-20	AUXILLARY_BUD						gen2	volume	Brassica oleracea var. viridis	extract1	medium3
QVGVN118AE	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-20	AUXILLARY_BUD						gen2	volume	Brassica oleracea var. viridis	extract2	medium1
QVGVN119AM	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-20	AUXILLARY_BUD						gen2	volume	Brassica oleracea var. viridis	extract2	medium2
QVGVN120AP	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; volume ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-20	AUXILLARY_BUD						gen2	volume	Brassica oleracea var. viridis	extract2	medium3
QVGVN121AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-21	AUXILLARY_BUD						gen2	weigh	Cavia aperea	extract1	medium1
QVGVN122A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-21	AUXILLARY_BUD						gen2	weigh	Cavia aperea	extract1	medium2
QVGVN123AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-21	AUXILLARY_BUD						gen2	weigh	Cavia aperea	extract1	medium3
QVGVN124AN	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-21	AUXILLARY_BUD						gen2	weigh	Cavia aperea	extract2	medium1
QVGVN125AV	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-21	AUXILLARY_BUD						gen2	weigh	Cavia aperea	extract2	medium2
QVGVN126A5	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-21	AUXILLARY_BUD						gen2	weigh	Cavia aperea	extract2	medium3
QVGVN127AD	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-22	AUXILLARY_BUD						gen2	weigh	Rosa wichurana	extract1	medium1
QVGVN128AL	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-22	AUXILLARY_BUD						gen2	weigh	Rosa wichurana	extract1	medium2
QVGVN129AT	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-22	AUXILLARY_BUD						gen2	weigh	Rosa wichurana	extract1	medium3
QVGVN130AW	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-22	AUXILLARY_BUD						gen2	weigh	Rosa wichurana	extract2	medium1
QVGVN131A6	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-22	AUXILLARY_BUD						gen2	weigh	Rosa wichurana	extract2	medium2
QVGVN132AE	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-22	AUXILLARY_BUD						gen2	weigh	Rosa wichurana	extract2	medium3
QVGVN133AM	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-23	AUXILLARY_BUD						gen2	weigh	Escherichia coli	extract1	medium1
QVGVN134AU	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-23	AUXILLARY_BUD						gen2	weigh	Escherichia coli	extract1	medium2
QVGVN135A4	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-23	AUXILLARY_BUD						gen2	weigh	Escherichia coli	extract1	medium3
QVGVN136AC	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-23	AUXILLARY_BUD						gen2	weigh	Escherichia coli	extract2	medium1
QVGVN137AK	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-23	AUXILLARY_BUD						gen2	weigh	Escherichia coli	extract2	medium2
QVGVN138AS	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-23	AUXILLARY_BUD						gen2	weigh	Escherichia coli	extract2	medium3
QVGVN139A2	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-24	AUXILLARY_BUD						gen2	weigh	Brassica oleracea var. viridis	extract1	medium1
QVGVN140A5	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-24	AUXILLARY_BUD						gen2	weigh	Brassica oleracea var. viridis	extract1	medium2
QVGVN141AD	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-24	AUXILLARY_BUD						gen2	weigh	Brassica oleracea var. viridis	extract1	medium3
QVGVN142AL	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-24	AUXILLARY_BUD						gen2	weigh	Brassica oleracea var. viridis	extract2	medium1
QVGVN143AT	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-24	AUXILLARY_BUD						gen2	weigh	Brassica oleracea var. viridis	extract2	medium2
QVGVN144A3	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen2 ; weigh ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-24	AUXILLARY_BUD						gen2	weigh	Brassica oleracea var. viridis	extract2	medium3
QVGVN145AB	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-25	AUXILLARY_BUD						gen3	colour	Cavia aperea	extract1	medium1
QVGVN146AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-25	AUXILLARY_BUD						gen3	colour	Cavia aperea	extract1	medium2
QVGVN147AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-25	AUXILLARY_BUD						gen3	colour	Cavia aperea	extract1	medium3
QVGVN148A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-25	AUXILLARY_BUD						gen3	colour	Cavia aperea	extract2	medium1
QVGVN149A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-25	AUXILLARY_BUD						gen3	colour	Cavia aperea	extract2	medium2
QVGVN150AC	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-25	AUXILLARY_BUD						gen3	colour	Cavia aperea	extract2	medium3
QVGVN151AK	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-26	AUXILLARY_BUD						gen3	colour	Rosa wichurana	extract1	medium1
QVGVN152AS	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-26	AUXILLARY_BUD						gen3	colour	Rosa wichurana	extract1	medium2
QVGVN153A2	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-26	AUXILLARY_BUD						gen3	colour	Rosa wichurana	extract1	medium3
QVGVN154AA	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-26	AUXILLARY_BUD						gen3	colour	Rosa wichurana	extract2	medium1
QVGVN155AI	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-26	AUXILLARY_BUD						gen3	colour	Rosa wichurana	extract2	medium2
QVGVN156AQ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-26	AUXILLARY_BUD						gen3	colour	Rosa wichurana	extract2	medium3
QVGVN157A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-27	AUXILLARY_BUD						gen3	colour	Escherichia coli	extract1	medium1
QVGVN158A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-27	AUXILLARY_BUD						gen3	colour	Escherichia coli	extract1	medium2
QVGVN159AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-27	AUXILLARY_BUD						gen3	colour	Escherichia coli	extract1	medium3
QVGVN160AJ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-27	AUXILLARY_BUD						gen3	colour	Escherichia coli	extract2	medium1
QVGVN161AR	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-27	AUXILLARY_BUD						gen3	colour	Escherichia coli	extract2	medium2
QVGVN162A1	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-27	AUXILLARY_BUD						gen3	colour	Escherichia coli	extract2	medium3
QVGVN163A9	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-28	AUXILLARY_BUD						gen3	colour	Brassica oleracea var. viridis	extract1	medium1
QVGVN164AH	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-28	AUXILLARY_BUD						gen3	colour	Brassica oleracea var. viridis	extract1	medium2
QVGVN165AP	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-28	AUXILLARY_BUD						gen3	colour	Brassica oleracea var. viridis	extract1	medium3
QVGVN166AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium1	QVGVNENTITY-28	AUXILLARY_BUD						gen3	colour	Brassica oleracea var. viridis	extract2	medium1
QVGVN167A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium2	QVGVNENTITY-28	AUXILLARY_BUD						gen3	colour	Brassica oleracea var. viridis	extract2	medium2
QVGVN168AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; colour ; Brassica oleracea var. viridis ; extract2 ; medium3	QVGVNENTITY-28	AUXILLARY_BUD						gen3	colour	Brassica oleracea var. viridis	extract2	medium3
QVGVN169AN	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Cavia aperea ; extract1 ; medium1	QVGVNENTITY-29	AUXILLARY_BUD						gen3	volume	Cavia aperea	extract1	medium1
QVGVN170AQ	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Cavia aperea ; extract1 ; medium2	QVGVNENTITY-29	AUXILLARY_BUD						gen3	volume	Cavia aperea	extract1	medium2
QVGVN171A0	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Cavia aperea ; extract1 ; medium3	QVGVNENTITY-29	AUXILLARY_BUD						gen3	volume	Cavia aperea	extract1	medium3
QVGVN172A8	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Cavia aperea ; extract2 ; medium1	QVGVNENTITY-29	AUXILLARY_BUD						gen3	volume	Cavia aperea	extract2	medium1
QVGVN173AG	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Cavia aperea ; extract2 ; medium2	QVGVNENTITY-29	AUXILLARY_BUD						gen3	volume	Cavia aperea	extract2	medium2
QVGVN174AO	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Cavia aperea ; extract2 ; medium3	QVGVNENTITY-29	AUXILLARY_BUD						gen3	volume	Cavia aperea	extract2	medium3
QVGVN175AW	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Rosa wichurana ; extract1 ; medium1	QVGVNENTITY-30	AUXILLARY_BUD						gen3	volume	Rosa wichurana	extract1	medium1
QVGVN176A6	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Rosa wichurana ; extract1 ; medium2	QVGVNENTITY-30	AUXILLARY_BUD						gen3	volume	Rosa wichurana	extract1	medium2
QVGVN177AE	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Rosa wichurana ; extract1 ; medium3	QVGVNENTITY-30	AUXILLARY_BUD						gen3	volume	Rosa wichurana	extract1	medium3
QVGVN178AM	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Rosa wichurana ; extract2 ; medium1	QVGVNENTITY-30	AUXILLARY_BUD						gen3	volume	Rosa wichurana	extract2	medium1
QVGVN179AU	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Rosa wichurana ; extract2 ; medium2	QVGVNENTITY-30	AUXILLARY_BUD						gen3	volume	Rosa wichurana	extract2	medium2
QVGVN180AX	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Rosa wichurana ; extract2 ; medium3	QVGVNENTITY-30	AUXILLARY_BUD						gen3	volume	Rosa wichurana	extract2	medium3
QVGVN181A7	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Escherichia coli ; extract1 ; medium1	QVGVNENTITY-31	AUXILLARY_BUD						gen3	volume	Escherichia coli	extract1	medium1
QVGVN182AF	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Escherichia coli ; extract1 ; medium2	QVGVNENTITY-31	AUXILLARY_BUD						gen3	volume	Escherichia coli	extract1	medium2
QVGVN183AN	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Escherichia coli ; extract1 ; medium3	QVGVNENTITY-31	AUXILLARY_BUD						gen3	volume	Escherichia coli	extract1	medium3
QVGVN184AV	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Escherichia coli ; extract2 ; medium1	QVGVNENTITY-31	AUXILLARY_BUD						gen3	volume	Escherichia coli	extract2	medium1
QVGVN185A5	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Escherichia coli ; extract2 ; medium2	QVGVNENTITY-31	AUXILLARY_BUD						gen3	volume	Escherichia coli	extract2	medium2
QVGVN186AD	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Escherichia coli ; extract2 ; medium3	QVGVNENTITY-31	AUXILLARY_BUD						gen3	volume	Escherichia coli	extract2	medium3
QVGVN187AL	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium1	QVGVNENTITY-32	AUXILLARY_BUD						gen3	volume	Brassica oleracea var. viridis	extract1	medium1
QVGVN188AT	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium2	QVGVNENTITY-32	AUXILLARY_BUD						gen3	volume	Brassica oleracea var. viridis	extract1	medium2
QVGVN189A3	Q_BIOLOGICAL_SAMPLE	2018-3-0001	QVGVNE2	gen3 ; volume ; Brassica oleracea var. viridis ; extract1 ; medium3	QVGVNENTITY-32	AUXILLARY_BUD						gen3	volume	Brassica oleracea var. viridis	extract1	medium3
